job_id,job_title,job_url,job_company,job_location,job_salary,job_description,job_skills
11,Full Stack Developer - Laravel/VueJS (FinTech/Community),https://wuzzuf.net/jobs/p/FrwCZqK4gY04-Full-Stack-Developer---LaravelVueJS-FinTechCommunity-Bright-Creations-Giza-Egypt?o=13&l=sp&t=sj&a=search-v3,Bright Creations,"Bright Creations - Smart Village, Giza",More than 4 years,"About the ProjectsProject 1 - MindsalikeYou’ll be working on Mindsalike - an entrepreneur and investor network for the Middle East & Africa.You’ll be building a community management platform to support Mindsalike admin team, it’s member community and create new experiences.Project 2 - CONNEX AssistanceThe project is a new InsureTech department as part of CONNEX Assistance Middle East, a leading assistance services company in the Middle East and Africa.About the RoleWe’re looking for a Full Stack Engineer with experience in building multi-tenant applications using Laravel and VueJS. You’ll be the first engineer to join this squad, with an eventual small core team of cross-functional engineers. You’ll be working directly with our founder who has developed over 150 web and mobile applications for startups and large corporates such as Google.  He will guide you through the stories and delivery architecture.  You’ll be expected to work at your own initiative.Job ResponsibilitiesDesign, build test and deliver the core frontend and backend modules in a multi-tenant application using Laravel and VueJSCollaborate with the business to define, design and ship new featuresWrite clean, beautifully architected, reusable and maintainable Laravel and VueJS code using robust software architectural patterns – MVC, Repository Pattern, Service Oriented Architecture (SOA) patterns as required in componentsDevelop organized APIs and RESTful services for the main core applicationIntegrate with other third party APIs to retrieve and manage third party dataStore, retrieve and update data in the database using Eloquent on MySQL and MongoDBDevelop application UI and reusable UI components using VueJS as well as utilize existing VueJS components and themes to speed up efficiencyDevelop VueJS code which integrates with back-end services using our own APIs as well as third party APIsDevelop code which loads and stores local cache of data using VueX and other caching librariesWrite unit tests for all code developed before pushing to code repository and covers all casesEnsuring consistent code, error management and logging architecture between core services and the frontend applicationsWork on bug fixing and improving application performanceCache responses to improve performance using Redis and other caching solutionsIdentify and correct bottlenecks and fix bugs.Continuously discover, evaluate and implement new libraries to maximize development efficiencyMaintain and update DevOps scripts using GitLab Yaml",engineering*apis*javascript*laravel*php*vue.js*react.js*front-end development*back-end development*full stack development*
12,Data Analyst,https://wuzzuf.net/jobs/p/NnXOsaotY7gM-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=1&l=sp&t=sj&a=search-v3,Hands of Hope Physical Therapy & Wellness,"Hands of Hope Physical Therapy & Wellness - Maadi, Cairo",2 to 4 years,"Hands of Hope is a Physical Therapy & Wellness hub, currently running 9 active locations in New York and around the state, strive to reinvigorate Physical Therapy adapting the latest technology in treatment and healthcare industry giving the best quality of care assisting our patients in their recovery journey and help them get back to their normal life faster.We're looking for a geek Data Analyst capable of working on establishing a strong data department able to guide the whole business to take data driven decisions. Responsibilities:Track, collect, and interpret data, then analyze results using statistical techniquesIdentify, analyze and interpret trends or patterns in complex data set..Apply Data Cleaning Techniques for historical data.Google Analytics and similar platforms knowledge to present actionable insights in a visually appealing format.Provide ongoing reports, dashboards and insights facilitate making business recommendations based on data analysis.Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them.Build company balance scorecard model.Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.Provide quality assurance of imported data.Processing confidential data and information according to guidelines.Managing and designing the reporting environment, including data sources, security, and metadata.Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.Generating reports from single or multiple systems.Troubleshooting the reporting database environment and reports.Evaluating changes and updates to source production systems.Training end-users on new reports and dashboards.Providing technical expertise in data storage structures, data mining, and data cleansing.",analysis*analyst*data*data analysis*data analyst*information technology (it)*tableau*spss*sql*sas*google analytics*epidemiology*epidemiologist*computer science*statistics*
13,Python Developer (FinTech),https://wuzzuf.net/jobs/p/VRTUIy6Cz0Yn-Python-Developer-FinTech-Bright-Creations-Giza-Egypt?o=2&l=sp&t=sj&a=search-v3,Bright Creations,"Bright Creations - Smart Village, Giza",More than 2 years,"Our FounderDAZU Pay is a new FinTech startup founded by a Stanford graduate who just moved back from Silicon Valley to build DAZU.  Our founder has built over 150 web and mobile applications including for startups in the region (Valu, Cairo360), global tech unicorns (Google) and regional players (Du, MBC, the Saudi Government), and more.About DAZU PayDAZU is focused on building a leading edge platform supporting consumer and business payments in the Middle East & Africa. Our goal is to be the number one FinTech player in our niche in the Middle East & Africa.  Obviously, there’s more to it than that, but we’re still in stealth mode so you’ll know once we’ve launched (or if you join the team!)About the RoleWe’re looking for a passionate python developer with extensive experience in web scraping and building automation scripts. You’ll be working alongside the cross-functional team on the core FinTech product extracting valuable information as required from third parties.  You may extend to other areas, however, web scraping is the primary skilled required.  It’s a great opportunity for a junior to mid level developer with experience in scraping who is excited about a fast-paced demanding environment.Job ResponsibilitiesCollaborate with cross-functional teams to define, design and ship new featuresWrite clean, beautifully architected, reusable and maintainable Python code using robust software architectural patterns – MVC, Repository Pattern, Service Oriented Architecture (SOA) patterns as required in componentsDevelop web scraping scripts to extract data required by the core productDevelop organized APIs and RESTful services for cross system communicationIntegrate with other third party APIs to retrieve and manage third party dataWrite unit tests for all code developed before pushing to code repository and covers all casesWork on bug fixing and improving application performancePotential for AI/ML applications to analyse and manage the dataLocationOffice is based in Smart Village, and we have certain flexibility for remote work.",python*django*flask*python scripting*web scraping*wweb scraping*
14,Python Django Developer,https://wuzzuf.net/jobs/p/YX9fNGWWWV9P-Python-Django-Developer-Dubai-United-Arab-Emirates?o=8&l=sp&t=sj&a=search-v3,Not Specified,"Confidential Company - Dubai, United Arab Emirates",More than 2 years,"Create and use software tools to help automate writing codeDevelop and expand features and products using Python and JavaScriptDebugging, Documentation, and TestingThere is an existing Django back-end that needs to continue to be built out and maintainedDocument code development and revisionsDesign databases for data storage and querying.",javascript*django*python*software development*postgresql*computer science*engineering*git*information technology (it)*mongodb*software*software engineering*
15,ASP.NET Junior Software Developer,https://wuzzuf.net/jobs/p/1ewwABTcRz90-ASPNET-Junior-Software-Developer-Nebras-Technology-Giza-Egypt?o=15&l=sp&t=sj&a=search-v3,Nebras Technology,"Nebras Technology - Dokki, Giza",0 to 2 years,"Design and develop databases, primarily in Microsoft SQL Server and Entity FrameworkDesign and program web-based interface and application functionality primarily in ASP.NET MVC, HTML5, JavaScript, TypescriptOptimize and Improve existing systems through ongoing enhancement projectsHelp improve code quality through writing unit tests, automationParticipate in brainstorming sessions and have the chance to contribute innovative and original ideas to our technology, algorithms and productWork in a fast-paced environment to deliver.Dive into difficult problems and successfully deliver results within a schedule",javascript*typescript*web development*computer science*software engineering*software development*webpack*mongodb*c#*c#.net*mvc*sql*html5*microsoft visual studio*asp.net*.net core*
16,Senior .Net Developer,https://wuzzuf.net/jobs/p/xErSMS3hPWio-Senior-Net-Developer-Cairo-Egypt?o=16&l=sp&t=sj&a=search-v3,Not Specified,"Confidential Company - Nasr City, Cairo",4 to 8 years,"Implement high-quality software based on provided design and architecture.Develop distributed, high load, scalable and secure systems • Develop technical specifications and architecture.Analyze systems flow, data usage, and work processes and anticipate/investigate problem areas.Write clean and efficient code using .Net core programming languages.In-depth experience with MS-SQL Server and SQL programming language.Implement multi-threading code and asynchronous operations.Develop tools and applications by producing clean and efficient code.Deploy fully functional websites and applications to DEV (Alpha) and UAT (Beta) environments.Collaborate with your team to review and debug code.Test, debug, and troubleshoot .NET websites and applications.Ensure compliance with the documented software processes and procedures throughout the life cycle of software products.Provide proper and clean embedded code components.Product quality API documentation that can be shared with 3rd party.Read and analyze 3rd party API specifications and documentation.Create application documents for the whole project or individual components.",computer science*architecture*design*information technology (it)*ms-sql*programming*software*quality*software development*software engineering*sql server*sql*api*.net*agile*asp.net*react*testing*tfs*asp.net core*.net framework*.net development*microsoft .net*visual studio .net*engineering*
17,Senior Testing Engineer,https://wuzzuf.net/jobs/p/eGNujKX2YIxF-Senior-Testing-Engineer-egabi-solutions-Cairo-Egypt?o=23&l=sp&t=sj&a=search-v3,egabi solutions,"egabi solutions - Cairo, Egypt",2 to 5 years,"Develop tests, and execute functional, application, and regression based tests. Contribute to the automation framework where required.Produce required documentation regarding testing methodology and testing results. Record, analyze and report on automation test results and complex issues. Review existing code and make valuable suggestions to enhance existing projects.Support product and environments by leading or contributing to regression activities, bringing knowledge of tools and methodologies to the task.Interact with the QA and product development team to understand product requirements.Ensure proper version control and configuration management of all test objects developed and test environments usedReview, prioritize and negotiate work content, timelines and deliverables with key groupsWork to implement and improve documented standards, guidelines and best practices for Automation",agile*api*automation*computer science*engineering*information technology (it)*jira*qc*postman*soapui*testing*software development*testrail*english*istqb*selenium*analysis*science*communication*
18,React Native Developer,https://wuzzuf.net/jobs/p/9WWd1o2KdFvM-React-Native-Developer-Yeshtery-Cairo-Egypt?o=18&l=sp&t=sj&a=search-v3,Yeshtery,"Yeshtery - New Cairo, Cairo",2 to 4 years,"Maintain code and write automated tests to ensure the product is of the highest quality.Design and build advanced applications for mobile and web platformCollaborate with cross-functional teams to define, design, and ship new featuresWork with outside data sources and APIsUnit-test code for robustness, including edge cases, usability, and general reliabilityWork on bug fixing and improving application performanceContinuously discover, evaluate, and implement new technologies to maximize development efficiencyBuild and maintain highly scalable mobile applications using React NativeTranslate and Build the designs and Wireframes into high-quality responsive UIMaintaining software through product lifecycle including design, development, verification, and bug fixesUse CI/CD for smooth deploymentParticipate in all phases of the development life-cycle",agile*software development*computer science*information technology (it)*restful*react native*react*ui*ios*git*design*android*
19,Senior PHP Full Stack Developer - Laravel,https://wuzzuf.net/jobs/p/H41aDdkaoKnu-Senior-PHP-Full-Stack-Developer---Laravel-Cairo-Egypt?o=21&l=sp&t=sj&a=search-v3,Not Specified," - Maadi, Cairo",Not Specified,"If you think your code quality is 50/50, or not bad, or OK, please feel free to close this page and move on, we are very picky and we focus A LOT on building high quality software.We are looking for an Expert Php Developer who has advanced experience with one or more of the following frameworks (Laravel)Our ideal candidate should be ready to get challenged by working on some of the most complex problems.We are not looking for an average developer, we want someone who is looking for a real challenge and who is willing to learn because most of what we build is new and has not been done before.Expect to work on a database that has tables with more than 100 Million records, so think scalability, efficiency, and speed.Also, get ready to participate in writing some unique algorithms that will be built specifically to solve problems that consumer face here in Egypt.We don't copy and paste solutions, therefore we don't expect you to copy and paste code, this is serious stuff and we promise that you will go home every day exhausted and humbled by the challenges you will face. Expect to learn a lot !Sounds interesting? You might be the right person for this position. Yallah, looking forward to meeting you.We careless about your degrees, certificates, or your educational background. Show us the code!Responsibilities:Write clean, well-designed codeProduce detailed specificationsTroubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionalityContribute in all phases of the development lifecycleDevelop and deploy new features to facilitate related procedures and tools if necessary",Not Specified
20,Full Stack Developer,https://wuzzuf.net/jobs/p/BoCrqeT9xQzr-Full-Stack-Developer-microtec-Cairo-Egypt?o=22&l=sp&t=sj&a=search-v3,microtec,"microtec - Nasr City, Cairo",Not Specified,"Microtec Saudi(Microtec Saudi Corporation for Information Technology) is considered a leading company in the field of information technology that provides the best services and solutions, striving to fill the current void in the management of database software, etc.We Offer:Financial stability.Interesting and challenging projects within professional self-managed teams.Friendly team and a comfortable working environment.21 working day paid annual vacation.Paid sick leavePerformance review after half of the yearWorking HoursFlexible starting time from 8 to 10 in the morning, followed by an 8-hour workdaу.Saturday and Fridays are days off . ",Not Specified
21,Network Security Engineer,https://wuzzuf.net/jobs/p/qyhz2hwf51dG-Network-Security-Engineer-Zewail-City-Giza-Egypt?o=25&l=sp&t=sj&a=search-v3,Zewail City,"Zewail City - 6th of October, Giza",2 to 4 years,"Managing root certificate authority network according to security compliance criteriaMaintaining internet connectivity necessary for verification procedures 24/7Configuration and administration of network routers and switches.Installation, Configuration and administration of Web Application Firewalls.Configuration and administration of Root CA firewallsConfigures firewalls, Web Gateways, routers, and switches to maximize network efficiency and security.Periodically update and check health of all security systems, appliances and applicationsConfiguration, administration and maintenance of network time (NTP) to provide exact time for both Trust center appliances and TSP service.Logging system configuration, administration and analysisMonitoring and alerting system configuration and administration to ensure 24/7 system health reporting to assigned engineersWide Area Gateway Services management and alertingTechnical support renewal with vendorsImplementation, configuration and administration of System Information and Event management applianceEvent and security analysis",engineering*information technology (it)*network security*networking*security engineer*security*network*computer science*firewall*ntp*web gateways*event management*root ca*computer engineering*dns*dhcp*routing*layer2/3 switching*siem*http*snmp*english*linux*
22,Backend Developer,https://wuzzuf.net/jobs/p/rKRrtUoKlLOa-Backend-Developer-microtec-Cairo-Egypt?o=24&l=sp&t=sj&a=search-v3,microtec,"microtec - Nasr City, Cairo",Not Specified,"Microtec Saudi(Microtec Saudi Corporation for Information Technology) is considered a leading company in the field of information technology that provides the best services and solutions, striving to fill the current void in the management of database software, etc. We Offer:Financial stability.Interesting and challenging projects within professional self-managed teams.Friendly team and a comfortable working environment.21 working day paid annual vacation.Paid sick leave.Performance review after half of the year Working HoursFlexible starting time from 8 to 10 in the morning, followed by an 8-hour workdaу.Saturday and Fridays are days off .  ",Not Specified
23,Application Support Engineer,https://wuzzuf.net/jobs/p/LQ6Y5WpPRLRk-Application-Support-Engineer-UnitLabs-Giza-Egypt?o=29&l=sp&t=sj&a=search-v3,UnitLabs,"UnitLabs - Dokki, Giza",Not Specified,"Providing first level investigation and diagnosis.Escalating incidents/service requests that they cannot resolve within agreed timescalesFollowing up till the closure of the incident with second and third line support.Logging all relevant incident/service request details, allocating categorization and prioritization codesKeeping users informed of progress.Assist users with data conversion / migration.Design, develop and maintain reports used by systems users.Closing all resolved incidents, requests and other calls.Conducting customer/user satisfaction call-backs/surveys as agreedCommunication with users – keeping them informed of incident progress, notifying them of impending changes or agreed outages, etc.",Not Specified
24,Netsuite Business Consultant,https://wuzzuf.net/jobs/p/FUCTb2w1xSFr-Netsuite-Business-Consultant-UNITED-OFOQ-Cairo-Egypt?o=30&l=sp&t=sj&a=search-v3,UNITED OFOQ,"UNITED OFOQ - Cairo, Egypt",Not Specified,"We are looking for dynamic and ambitious talents to join us in our journey as ""Netsuite business consultant"", you will be engaged with our client's team to implement it,

Your responsibility will start from understanding client's business needs then, Configure the system to comply with these needs, train and finally, Support clients using the system.
",Not Specified
25,Android Team Leader,https://wuzzuf.net/jobs/p/PCW8rNxAkjmq-Android-Team-Leader-Sarmady-Giza-Egypt?o=19&l=sp&t=sj&a=search-v3,Sarmady,"Sarmady - Mohandessin, Giza",Not Specified,"Design, build and deploy our solutions, supporting our large-scale products and services.Responsible for developing applications for Android platform and participating in the entire application lifecycle.Resolve technical issues through debugging, research and investigation.Work closely with other mobile app developers to ensure conformity among all team members and all platforms.Gather and understand requirements, and translate them into efficient solutions.Optimize app performance.Keep up to date on the latest industry trends in mobile technologies, and improve apps accordingly.Deploying apps process on Play Store and Huawei AppGallery.Work on bug fixing and improving application performanceDocumenting all codes of the development processes to record and facilitate the work for other mobile developers.",Not Specified
26,flutter developer,https://wuzzuf.net/jobs/p/XfjYCp0Wy3EF-flutter-developer-microtec-Cairo-Egypt?o=20&l=sp&t=sj&a=search-v3,microtec,"microtec - Nasr City, Cairo",Not Specified,"Microtec Saudi(Microtec Saudi Corporation for Information Technology) is considered a leading company in the field of information technology that provides the best services and solutions, striving to fill the current void in the management of database software, etc.We Offer:Financial stability.Interesting and challenging projects within professional self-managed teams.Friendly team and a comfortable working environment.21 working day paid annual vacation.Paid sick leavePerformance review after half of the yearWorking HoursFlexible starting time from 8 to 10 in the morning, followed by an 8-hour workdaу.Saturday and Fridays are days off . ",Not Specified
